scenario,cpu_speed,cpu_cores,cpu_threads,gpu_vram,ram_size,storage_space,psu_power,total_price,performance_score
Content Creation,3.2,8,16,8,32,250,650,3069,3300.0
General Use,3.2,4,8,16,96,500,2000,1877,3293.6
Home Office,4.5,16,32,4,128,1000,700,2313,6325.0
Gaming,3.8,8,16,4,4,2000,1500,2279,4237.0
Home Office,3.5,4,4,8,32,500,850,2142,2855.0
General Use,3.0,8,16,16,32,1000,750,2358,5280.0
Workstation,3.5,6,12,11,16,1000,650,1619,13660.0
General Use,3.2,4,8,8,32,2000,550,1866,10281.6
Gaming,3.2,4,8,8,64,1000,500,1606,2568.0
Home Office,3.5,4,8,8,32,1000,650,1623,5355.0
Home Office,3.1,4,4,6,64,1000,550,2393,5671.0
Content Creation,3.7,6,12,8,16,1000,700,1682,10456.0
Gaming,3.6,4,8,4,16,250,650,2111,754.0
Home Office,3.2,8,16,6,32,500,650,1949,2852.0
General Use,3.4,8,16,6,32,1000,750,1884,5283.2
General Use,3.2,8,16,4,64,2000,750,1991,10537.6
Workstation,3.6,4,8,8,16,2000,450,2052,22630.0
Home Office,3.7,4,8,8,16,1000,750,2538,5197.0
Home Office,3.2,8,16,4,64,1000,850,1828,5672.0
General Use,3.6,6,12,12,32,1000,850,2715,5284.8
Home Office,3.4,8,16,8,8,250,850,1242,1364.0
Home Office,3.6,6,12,2,16,2000,750,1776,10196.0
General Use,3.1,4,4,8,64,1000,550,1807,5536.8
Gaming,3.2,8,16,6,32,1000,1000,2390,2408.0
Gaming,3.6,4,8,12,32,2000,550,2708,4494.0
General Use,3.6,6,12,8,48,2000,550,1773,10412.8
General Use,4.2,8,16,3,64,2000,550,2806,10545.6
Home Office,3.5,6,12,8,16,1000,750,2664,5195.0
Home Office,3.5,4,4,8,32,2000,500,1579,10355.0
Gaming,4.7,6,12,20,32,1000,1050,1995,2690.5
Gaming,3.4,8,16,4,256,1000,650,2608,3491.0
Content Creation,3.7,8,16,6,8,1000,500,2404,10304.0
Workstation,3.6,4,8,8,32,2000,600,1779,23700.0
General Use,3.7,4,8,16,32,1000,1200,2284,5285.6
Gaming,3.6,4,8,10,8,2000,850,1677,4334.0
General Use,3.5,6,12,8,64,2000,650,2386,10540.0
Content Creation,3.6,6,12,8,16,1000,1000,2408,10456.0
General Use,3.6,4,8,8,32,500,400,1294,2784.8
Home Office,4.5,16,32,8,32,1000,700,1400,5365.0
General Use,3.7,6,12,6,64,2000,750,2238,10541.6
Home Office,3.7,6,12,8,16,500,1000,2729,2697.0
Home Office,3.4,6,12,8,32,1000,1000,2228,5354.0
Home Office,3.5,6,12,6,64,500,650,1807,3175.0
Home Office,3.4,6,12,12,32,2000,1000,2629,10354.0
Home Office,3.6,8,16,8,8,2000,1000,2320,10116.0
Home Office,3.6,6,12,12,32,1000,850,2454,5356.0
Content Creation,3.6,6,12,12,64,250,650,1420,3948.0
General Use,3.6,8,16,6,32,500,750,2085,2784.8
General Use,3.6,4,8,8,16,2000,750,2684,10156.8
General Use,3.7,6,12,8,64,2000,750,2007,10541.6
Workstation,3.2,4,8,11,8,2000,550,2229,22970.0
General Use,3.5,4,4,12,32,2000,750,2050,10284.0
Home Office,3.2,8,16,8,32,1000,450,2474,5352.0
Content Creation,3.1,4,4,6,64,250,700,2311,3876.0
Home Office,3.6,2,4,16,16,500,750,2313,2696.0
Gaming,3.5,4,4,8,32,2000,650,2858,4412.5
General Use,3.6,4,8,8,16,1000,1000,2730,5156.8
Gaming,3.6,2,4,8,64,500,1200,2764,1554.0
Workstation,3.6,8,16,8,32,250,500,1123,5760.0
Gaming,3.4,6,12,12,32,1000,750,2803,2511.0
Content Creation,3.7,6,12,8,32,2000,750,1651,20776.0
Home Office,3.7,4,8,8,64,2000,850,2082,10677.0
Workstation,3.6,2,4,8,32,250,550,2765,5920.0
General Use,3.7,8,16,8,32,1000,850,1698,5285.6
Gaming,3.6,2,4,6,32,1000,450,1738,2354.0
Gaming,3.6,8,16,6,16,250,550,2819,834.0
Home Office,3.7,4,8,8,32,2000,600,2130,10357.0
Home Office,3.5,6,12,10,32,1000,650,2486,5355.0
Gaming,3.5,6,12,8,16,2000,850,2705,4352.5
Content Creation,3.5,4,8,8,64,250,750,2520,3892.0
General Use,3.6,2,4,8,32,2000,850,1608,10284.8
Workstation,3.0,8,16,6,32,1000,850,1993,15010.0
General Use,3.7,4,8,12,64,500,850,2340,3041.6
Workstation,3.1,4,4,11,64,1000,1050,2106,16590.0
Home Office,3.6,8,16,8,16,2000,550,1586,10196.0
Workstation,3.6,4,8,11,64,1000,750,1958,15090.0
Home Office,3.6,6,12,8,32,2000,700,1546,10356.0
Home Office,3.5,4,4,8,64,1000,1000,1497,5675.0
General Use,3.4,6,12,8,64,1000,650,1811,5539.2
Gaming,3.6,8,16,8,16,2000,500,2068,4374.0
General Use,3.1,4,4,12,32,500,850,1535,2780.8
Gaming,3.0,8,16,16,64,1000,650,1782,2765.0
Content Creation,3.9,6,12,10,32,1000,650,2107,10792.0
General Use,3.5,4,4,8,32,500,1000,1938,2784.0
Workstation,3.2,4,8,8,8,1000,750,2610,13970.0
Gaming,3.4,6,12,6,32,1000,1200,1958,2391.0
Gaming,3.7,4,8,8,64,2000,650,1658,4575.5
Home Office,3.0,8,16,6,64,1000,600,2468,5670.0
Workstation,3.2,4,8,8,8,1000,750,2309,13970.0
Gaming,3.4,8,16,8,32,1000,850,2649,2451.0
General Use,3.5,4,4,8,32,2000,1000,1650,10284.0
Gaming,3.6,2,4,24,8,2000,900,2221,4594.0
Gaming,3.6,4,8,12,32,500,400,1664,1494.0
Gaming,3.8,8,16,24,8,1000,650,2343,2657.0
Gaming,3.3,6,12,11,32,1000,600,2993,2489.5
Content Creation,3.2,4,8,8,32,2000,850,2368,20752.0
Gaming,3.4,8,16,10,16,1000,1000,2368,2411.0
Workstation,3.6,2,4,8,64,1000,1200,2376,17310.0
Workstation,3.6,4,8,8,32,1000,1000,2198,15700.0
General Use,3.6,4,8,8,64,1000,1000,1835,5540.8
Content Creation,3.2,8,16,6,64,1000,750,2764,11424.0
Workstation,3.7,8,16,8,32,1000,850,1923,15010.0
Workstation,3.5,4,4,8,4,1000,550,2516,12890.0
Home Office,3.5,4,4,4,32,1000,600,2911,5355.0
Gaming,3.6,2,4,3,16,1000,1300,2486,2214.0
General Use,3.2,8,16,12,32,1000,800,2037,5281.6
General Use,3.2,4,8,8,32,2000,600,2116,10281.6
Home Office,3.3,6,12,6,32,1000,650,2289,5353.0
Content Creation,3.2,8,16,8,32,1000,1000,2162,10800.0
Workstation,3.7,4,8,4,32,250,750,1566,6950.0
Gaming,3.8,8,16,12,8,500,550,2025,1417.0
Gaming,3.6,4,8,8,32,2000,850,2601,4414.0
General Use,3.6,8,16,16,32,500,1000,2824,2784.8
Content Creation,3.0,8,16,4,32,500,1200,2772,5768.0
Gaming,4.5,8,16,6,16,1000,1050,2309,2347.5
General Use,3.2,4,8,8,128,1000,500,2930,6049.6
General Use,3.8,8,16,8,8,500,550,2413,2594.4
Home Office,3.7,8,16,8,32,1000,650,2074,5357.0
Content Creation,3.4,8,16,16,32,1000,750,2180,10864.0
Content Creation,4.5,16,32,6,32,250,600,2710,3380.0
General Use,3.2,8,16,11,32,250,400,1973,1531.6
General Use,3.8,4,4,4,8,250,1500,2501,1344.4
Gaming,3.6,8,16,8,32,1000,600,2176,2454.0
Workstation,3.5,4,4,2,8,2000,850,2231,24470.0
General Use,3.4,6,12,8,32,2000,550,2583,10283.2
Gaming,3.7,8,16,6,64,500,600,1789,1575.5
Home Office,3.5,4,4,6,64,1000,1000,1643,5675.0
Workstation,3.7,4,8,10,64,2000,700,2021,24840.0
Content Creation,3.6,4,8,11,32,500,1000,2114,5776.0
General Use,3.1,4,4,24,32,1000,650,1954,5280.8
Home Office,3.6,8,16,4,32,2000,1200,1744,10356.0
Content Creation,3.6,8,16,8,32,2000,500,1375,20800.0
Workstation,4.7,6,12,8,64,2000,700,1638,24870.0
General Use,3.1,4,4,16,32,500,850,1857,2780.8
Content Creation,3.7,6,12,8,8,500,550,1834,5296.0
Home Office,3.6,4,8,12,8,1000,650,1304,5116.0
Home Office,3.2,8,16,6,16,1000,600,2061,5192.0
Content Creation,3.2,4,8,6,32,1000,550,1266,10736.0
Home Office,3.2,4,8,6,64,1000,1000,1414,5672.0
General Use,3.1,4,4,16,16,1000,550,1504,5152.8
General Use,3.8,4,4,8,16,1000,850,1864,5158.4
Home Office,3.4,6,12,8,32,2000,550,2427,10354.0
Workstation,3.2,4,8,10,16,2000,600,2311,23380.0
Workstation,3.2,4,8,8,16,250,650,1860,6130.0
General Use,3.6,6,12,8,32,1000,750,1673,5284.8
General Use,3.0,8,16,8,64,1000,850,2629,5536.0
Home Office,3.5,4,4,8,32,1000,1600,2569,5355.0
Gaming,3.8,4,4,8,64,2000,450,1400,4577.0
Content Creation,3.6,6,12,16,32,2000,850,2600,20840.0
Gaming,3.6,4,8,6,32,2000,550,2314,4374.0
Home Office,3.5,4,4,8,32,250,700,1436,1605.0
Content Creation,4.2,8,16,8,32,500,750,2265,5800.0
Content Creation,3.8,4,4,16,8,1000,750,2274,10336.0
Content Creation,3.8,4,4,2,16,2000,850,1806,20384.0
General Use,3.5,4,4,8,32,1000,800,2427,5284.0
Home Office,3.2,8,16,11,16,1000,1000,2520,5192.0
General Use,3.4,8,16,8,256,1000,750,1410,7075.2
General Use,3.8,8,16,8,32,500,1000,2367,2786.4
General Use,3.2,8,16,4,16,500,1250,2061,2653.6
Workstation,3.8,8,16,16,16,1000,700,1430,13940.0
Home Office,3.5,4,4,8,16,2000,850,1885,10195.0
Gaming,3.5,4,4,12,32,1000,650,2523,2492.5
Content Creation,3.5,4,4,11,64,1000,750,2376,11416.0
Workstation,4.5,8,16,8,32,500,650,2394,9010.0
Gaming,3.6,8,16,24,16,500,600,2891,1694.0
Content Creation,3.4,6,12,8,64,2000,550,2328,21416.0
Home Office,3.4,8,16,8,4,1000,850,2791,5074.0
General Use,3.1,4,4,8,32,2000,800,2400,10280.8
Workstation,3.4,8,16,8,64,1000,850,2166,15650.0
Home Office,3.2,4,8,12,8,1000,1000,1685,5112.0
Content Creation,3.6,8,16,8,32,1000,650,2173,10800.0
Content Creation,3.2,8,16,24,32,1000,550,2764,10928.0
Content Creation,3.7,4,8,4,16,2000,1000,1754,20400.0
Content Creation,3.4,8,16,4,32,2000,650,3115,20768.0
General Use,3.7,8,16,4,32,1000,450,2154,5285.6
Workstation,3.3,6,12,12,16,2000,450,1600,22660.0
Workstation,3.6,6,12,8,64,250,850,2606,8120.0
Workstation,3.4,8,16,10,16,500,450,1978,7690.0
Workstation,3.6,6,12,24,32,1000,1200,2054,16730.0
Gaming,3.6,2,4,12,32,2000,750,2799,4474.0
Workstation,3.1,4,4,6,64,2000,750,2285,25090.0
Content Creation,3.7,4,8,2,16,500,1000,1672,5384.0
Content Creation,3.7,6,12,11,8,500,550,2622,5320.0
Gaming,3.6,4,8,24,32,500,700,1632,1734.0
Workstation,3.7,12,24,10,16,2000,1000,2516,25500.0
Content Creation,3.2,4,8,8,32,2000,650,2593,20752.0
Gaming,3.1,4,4,8,32,500,1000,1091,1406.5
Home Office,3.6,2,4,12,32,2000,850,1977,10356.0
Home Office,3.8,8,16,8,16,2000,650,2437,10198.0
General Use,3.2,4,8,8,32,2000,1000,2285,10281.6
Gaming,3.2,4,8,8,32,500,850,2268,1408.0
Home Office,3.7,6,12,24,32,1000,750,2357,5357.0
Content Creation,3.4,8,16,24,32,1000,550,2017,10928.0
Home Office,3.7,4,8,8,64,2000,850,1918,10677.0
Workstation,3.6,6,12,8,32,2000,450,1352,22980.0
Workstation,3.4,8,16,8,32,1000,750,1507,14510.0
Gaming,3.5,6,12,24,16,2000,650,2853,4672.5
General Use,3.4,8,16,8,16,1000,650,2346,5155.2
Home Office,3.6,8,16,8,32,500,750,2445,2856.0
Home Office,3.2,4,8,8,32,2000,1000,2540,10352.0
General Use,3.8,8,16,11,32,2000,600,1956,10286.4
Workstation,3.4,8,16,10,16,1000,750,2421,14190.0
Content Creation,3.4,8,16,2,32,1000,450,1782,10752.0
Content Creation,3.4,6,12,12,16,2000,850,2416,20488.0
Gaming,3.6,6,12,6,32,1000,600,2175,2394.0
Home Office,3.6,6,12,8,32,1000,1000,2276,5356.0
Content Creation,3.8,4,4,8,16,1000,600,1424,10432.0
Workstation,3.0,8,16,8,64,1000,1200,2533,17400.0
Gaming,3.8,8,16,8,128,2000,700,2507,4937.0
Home Office,3.4,6,12,8,32,1000,750,2947,5354.0
Home Office,3.5,4,8,8,32,2000,1000,1851,10355.0
Content Creation,3.4,8,16,3,32,250,650,1969,3260.0
General Use,3.6,4,8,8,16,1000,750,1302,5156.8
Home Office,3.9,6,12,4,32,250,600,1414,1609.0
Home Office,3.6,4,8,8,64,500,700,2188,3176.0
Content Creation,3.8,8,16,8,32,2000,850,2771,20800.0
General Use,3.5,4,4,8,16,2000,1000,1888,10156.0
Home Office,3.6,8,16,8,64,1000,900,1783,5676.0
General Use,3.2,4,8,3,16,1000,1000,2658,5153.6
Home Office,3.5,6,12,12,32,1000,750,2418,5355.0
Gaming,3.3,6,12,8,16,1000,450,1441,2349.5
Workstation,3.4,6,12,8,32,2000,1200,2502,26730.0
General Use,3.4,8,16,8,32,2000,650,2779,10283.2
Home Office,3.7,6,12,8,64,500,550,1758,3177.0
Content Creation,3.5,4,4,8,16,2000,700,1773,20432.0
General Use,3.6,4,8,8,32,2000,850,1758,10284.8
Content Creation,3.1,4,4,8,32,2000,700,2855,20752.0
Workstation,3.8,8,16,8,64,2000,850,1602,25650.0
Gaming,3.4,8,16,8,32,250,750,2457,951.0
Workstation,3.9,6,12,4,16,2000,400,1459,22410.0
Workstation,3.6,8,16,12,32,2000,500,1676,23260.0
Workstation,4.2,16,32,6,64,1000,850,2157,15770.0
Content Creation,3.8,8,16,8,32,2000,850,2612,20800.0
General Use,3.8,4,4,16,16,2000,600,2371,10158.4
Workstation,3.7,6,12,8,32,1000,650,2266,13980.0
Home Office,3.1,4,4,8,16,500,850,1724,2691.0
Gaming,3.4,8,16,10,32,500,700,2541,1491.0
Content Creation,3.8,4,4,8,32,2000,750,1878,20752.0
Gaming,3.7,6,12,4,64,1000,450,2088,2515.5
Content Creation,3.2,4,8,16,64,2000,1000,1852,21456.0
Gaming,3.7,6,12,12,32,1000,750,2983,2515.5
Workstation,3.6,6,12,8,32,1000,850,2224,14980.0
Home Office,3.3,6,12,12,128,2000,600,2136,11313.0
Content Creation,3.6,8,16,12,32,1000,750,1500,10832.0
Home Office,3.4,8,16,8,64,2000,550,2095,10674.0
General Use,3.2,4,8,6,96,1000,850,2582,5793.6
Home Office,3.4,6,12,24,32,1000,550,2338,5354.0
Workstation,3.6,8,16,4,64,500,1200,1639,12400.0
General Use,3.9,6,12,6,64,1000,750,1675,5543.2
Home Office,3.7,4,8,16,32,500,1000,1643,2857.0
Gaming,3.4,6,12,12,16,1000,700,2325,2431.0
Content Creation,3.2,8,16,24,16,2000,1000,2401,20608.0
Content Creation,3.4,6,12,10,32,500,650,2431,5792.0
Content Creation,3.2,4,8,4,128,1000,750,2344,12640.0
Gaming,3.7,6,12,4,32,2000,650,2438,4355.5
Workstation,3.4,8,16,8,32,500,700,2568,9260.0
Home Office,4.2,16,32,6,64,1000,750,2623,5682.0
Content Creation,3.2,4,8,8,16,1000,600,2466,10432.0
Gaming,3.7,8,16,8,32,250,650,1396,955.5
Gaming,3.2,8,16,8,64,1000,750,2643,2608.0
Workstation,3.7,6,12,8,16,1000,850,2245,14660.0
Workstation,3.2,4,8,10,32,1000,750,1497,14450.0
Home Office,3.6,8,16,10,32,2000,850,2626,10356.0
Content Creation,3.7,6,12,6,32,500,550,2646,5760.0
Home Office,3.7,6,12,12,32,2000,750,2834,10357.0
Workstation,3.7,4,8,8,32,250,1000,1876,8200.0
Content Creation,3.7,6,12,16,64,1000,500,2921,11480.0
Workstation,3.6,4,8,8,64,2000,850,2487,25590.0
Workstation,3.6,4,8,8,16,250,600,2488,5880.0
Content Creation,3.6,8,16,8,32,500,500,1963,5800.0
Gaming,3.6,8,16,6,32,2000,400,2757,4414.0
Gaming,3.6,8,16,8,64,1000,950,1433,2614.0
Content Creation,3.0,8,16,8,8,500,550,2723,5320.0
General Use,3.5,4,4,8,16,1000,750,1454,5156.0
General Use,3.6,4,8,8,64,1000,850,1651,5540.8
Workstation,3.4,8,16,2,48,2000,750,1840,24830.0
Gaming,3.7,8,16,8,64,1000,750,2559,2615.5
Home Office,3.8,8,16,8,32,500,850,2145,2858.0
General Use,3.7,4,8,24,32,2000,850,2022,10285.6
Home Office,3.7,8,16,16,16,1000,400,2145,5197.0
Workstation,3.5,4,8,2,32,2000,750,1721,24450.0
Home Office,3.1,4,4,6,16,500,1050,2118,2691.0
Gaming,3.8,8,16,6,32,2000,1000,2754,4417.0
Content Creation,3.6,8,16,8,32,1000,550,1847,10800.0
Content Creation,3.5,4,4,8,32,2000,1200,1948,20752.0
Workstation,3.1,4,4,24,16,1000,1200,1516,16380.0
Workstation,3.6,8,16,16,16,1000,850,1650,14690.0
Workstation,3.7,4,8,12,16,250,1050,1497,8130.0
Workstation,3.6,6,12,8,16,2000,650,1923,23660.0
Gaming,3.6,8,16,12,32,500,650,2713,1534.0
Content Creation,3.6,6,12,24,64,1000,750,1921,11544.0
Content Creation,3.4,6,12,6,32,1000,1200,2972,10760.0
Gaming,3.2,8,16,8,32,1000,1050,1927,2448.0
Content Creation,3.6,6,12,6,64,500,600,2260,6400.0
Workstation,3.7,6,12,8,32,500,850,1851,9980.0
General Use,3.7,4,8,12,64,250,650,2339,1791.6
Home Office,3.2,8,16,10,32,1000,650,1551,5352.0
Content Creation,3.6,8,16,16,16,1000,550,1840,10544.0
Home Office,3.7,6,12,6,64,2000,450,2405,10677.0
Home Office,3.6,2,4,12,16,250,850,1590,1446.0
Workstation,3.6,6,12,6,16,1000,500,2833,12910.0
Home Office,3.8,4,4,24,8,1000,750,1744,5118.0
Gaming,3.1,4,4,10,32,500,650,2783,1446.5
Home Office,3.6,8,16,8,16,1000,850,1944,5196.0
General Use,3.2,8,16,24,16,1000,850,2361,5153.6
Gaming,3.7,4,8,12,16,2000,750,1867,4415.5
Home Office,3.4,6,12,8,64,1000,650,2227,5674.0
Home Office,3.2,8,16,11,32,250,800,1885,1602.0
Content Creation,3.7,4,8,6,32,1000,700,1857,10736.0
Workstation,3.4,8,16,8,8,500,750,1630,9030.0
General Use,3.5,6,12,6,256,1000,650,2256,7076.0
Content Creation,4.5,16,32,8,32,2000,650,2297,20896.0
Gaming,3.6,4,8,8,16,1000,650,2217,2334.0
General Use,3.6,6,12,8,32,1000,450,1816,5284.8
Home Office,3.8,8,16,12,16,1000,800,2568,5198.0
Content Creation,3.3,6,12,8,64,1000,850,2893,11416.0
Workstation,3.0,8,16,8,16,1000,500,1534,12940.0
General Use,3.2,8,16,8,32,1000,600,1894,5281.6
Home Office,3.2,8,16,16,32,250,1000,2387,1602.0
Content Creation,3.5,4,4,8,16,1000,950,2292,10432.0
Workstation,3.5,6,12,12,32,1000,1000,1447,15730.0
Content Creation,3.5,6,12,8,8,1000,550,2282,10296.0
Workstation,3.6,8,16,8,16,250,850,1602,7190.0
Workstation,3.1,4,4,16,128,2000,650,2249,25870.0
Gaming,3.5,4,4,24,32,1000,850,2972,2732.5
Gaming,3.6,8,16,8,8,1000,750,1441,2334.0
Content Creation,3.5,4,4,12,64,2000,550,1467,21424.0
Gaming,3.3,6,12,12,32,1000,550,2000,2509.5
General Use,3.7,4,8,6,32,500,650,2490,2785.6
Workstation,3.4,8,16,8,16,1000,700,2071,13940.0
Workstation,3.6,8,16,10,96,500,700,2338,10540.0
Workstation,3.4,8,16,4,16,500,750,2223,9190.0
Workstation,3.8,6,12,12,64,1000,1000,3099,16370.0
Content Creation,3.6,8,16,24,32,1000,650,2603,10928.0
General Use,3.7,6,12,8,16,1000,500,2886,5157.6
Content Creation,3.9,6,12,12,32,1000,650,1160,10808.0
General Use,3.5,4,4,12,64,1000,650,1897,5540.0
Workstation,3.4,8,16,4,32,2000,700,1638,24260.0
Workstation,3.5,4,4,3,64,1000,650,1503,14590.0
Gaming,3.5,4,4,8,16,1000,1000,2852,2332.5
Workstation,3.5,6,12,8,64,2000,600,2366,24370.0
Workstation,3.8,8,16,16,64,1000,600,1973,14400.0
Workstation,3.7,4,8,8,32,250,850,2278,7450.0
Content Creation,3.1,4,4,4,16,250,550,2530,2900.0
Gaming,3.6,4,8,6,32,2000,1200,2192,4374.0
General Use,3.1,4,4,24,8,1000,650,1730,5088.8
Workstation,3.8,4,4,6,32,500,1050,2015,10950.0
Workstation,3.2,4,8,24,32,250,650,1553,6450.0
Content Creation,3.6,4,8,8,64,1000,750,2505,11392.0
Workstation,3.7,6,12,12,8,1000,550,1888,13000.0
Workstation,3.4,8,16,8,64,2000,750,1643,25150.0
General Use,4.4,12,24,8,32,1000,850,2513,5291.2
Workstation,3.1,4,4,6,16,1000,1250,2503,16630.0
Gaming,3.3,6,12,6,32,500,1000,2418,1389.5
Home Office,3.6,4,8,8,32,1000,1250,2140,5356.0
Home Office,3.1,4,4,6,16,2000,500,2166,10191.0
General Use,3.5,4,4,8,32,500,1200,2210,2784.0
Gaming,3.6,8,16,11,16,500,750,2214,1434.0
Gaming,4.2,16,32,8,64,2000,550,1932,4703.0
Home Office,3.1,4,4,8,32,2000,550,2195,10351.0
General Use,3.4,6,12,12,32,500,650,1543,2783.2
General Use,3.2,4,8,8,16,2000,750,1974,10153.6
General Use,3.6,6,12,8,32,2000,1000,1902,10284.8
Home Office,3.8,8,16,20,32,1000,550,1648,5358.0
Gaming,3.6,6,12,24,32,1000,600,1507,2754.0
General Use,3.6,4,8,8,64,1000,400,2669,5540.8
Gaming,3.7,8,16,10,48,500,750,3048,1575.5
Home Office,3.8,4,4,6,32,500,850,2173,2858.0
Gaming,3.6,4,8,8,8,2000,600,1316,4294.0
General Use,3.8,4,4,8,16,500,650,2333,2658.4
Workstation,3.1,4,4,4,32,2000,1050,1592,25950.0
Content Creation,3.7,4,8,8,16,500,650,2397,5432.0
Home Office,3.8,8,16,8,32,2000,750,2315,10358.0
Content Creation,3.7,4,8,8,32,1000,650,1862,10752.0
Gaming,3.5,4,4,10,32,500,850,2216,1452.5
Home Office,3.6,4,8,8,32,500,700,2286,2856.0
Home Office,3.2,8,16,8,32,1000,500,2600,5352.0
Gaming,3.1,4,4,8,16,2000,650,2540,4326.5
General Use,3.6,8,16,8,64,2000,850,1791,10540.8
Content Creation,3.6,2,4,12,64,1000,750,2931,11400.0
Gaming,3.6,8,16,8,32,1000,600,1567,2454.0
Content Creation,3.4,8,16,8,32,500,650,2729,5800.0
Home Office,3.4,6,12,8,64,1000,850,2091,5674.0
Gaming,3.6,4,8,8,32,500,1000,2257,1414.0
Home Office,3.8,8,16,16,32,1000,750,1496,5358.0
General Use,3.2,4,8,8,16,500,850,1755,2653.6
Gaming,3.8,8,16,8,64,500,850,2600,1617.0
Workstation,3.6,4,8,8,32,2000,600,2594,23700.0
Home Office,3.5,4,4,8,64,1000,600,2243,5675.0
Content Creation,3.6,6,12,8,16,1000,1000,2009,10456.0
General Use,3.6,4,8,10,32,1000,450,2644,5284.8
Content Creation,3.7,4,8,8,16,1000,650,2767,10432.0
Gaming,3.8,4,4,8,16,2000,1200,2230,4337.0
Content Creation,3.6,2,4,8,32,1000,850,2391,10728.0
Gaming,3.8,8,16,8,16,1000,750,1995,2377.0
Gaming,3.2,4,8,24,32,1000,2000,2521,2728.0
Home Office,3.6,4,8,8,32,2000,750,2192,10356.0
General Use,3.1,4,4,6,64,1000,550,2005,5536.8
General Use,3.6,4,8,8,32,1000,750,2354,5284.8
Home Office,3.4,8,16,24,32,1000,600,1619,5354.0
Workstation,3.1,4,4,8,32,2000,750,2022,24450.0
Content Creation,3.6,8,16,8,64,1000,500,1418,11440.0
Content Creation,3.6,4,8,8,32,1000,850,2127,10752.0
Home Office,3.8,4,4,8,32,500,750,2777,2858.0
Home Office,3.0,8,16,6,32,2000,750,2690,10350.0
Content Creation,3.6,4,8,16,32,1000,600,1958,10816.0
Gaming,3.7,4,8,8,32,1000,1200,2249,2415.5
Home Office,3.7,8,16,16,64,2000,1000,1492,10677.0
Content Creation,3.7,4,8,8,16,2000,1200,2454,20432.0
Home Office,3.6,6,12,8,16,2000,1300,1415,10196.0
Home Office,3.6,2,4,8,8,1000,800,1595,5116.0
Home Office,3.6,4,8,8,256,500,600,1916,5096.0
General Use,3.2,4,8,4,16,2000,600,2086,10153.6
Home Office,4.2,8,16,16,32,2000,650,2618,10362.0
Workstation,3.4,8,16,8,32,1000,850,2077,15010.0
General Use,3.7,6,12,6,48,1000,1000,1533,5413.6
Workstation,3.3,6,12,8,16,500,650,2733,8660.0
Home Office,3.0,8,16,10,16,500,600,2053,2690.0
Content Creation,3.7,8,16,16,128,2000,600,1253,22784.0
General Use,4.4,12,24,8,32,250,600,2320,1541.2
Gaming,3.4,8,16,16,16,500,1200,2112,1531.0
Gaming,3.6,6,12,24,16,250,750,1579,1174.0
General Use,3.7,6,12,8,16,1000,1000,2065,5157.6
Gaming,3.4,8,16,8,16,1000,650,2595,2371.0
Content Creation,3.2,4,8,8,32,1000,650,2064,10752.0
Gaming,3.3,6,12,12,64,1000,650,2746,2669.5
General Use,3.6,12,24,12,32,500,900,2160,2784.8
General Use,3.2,8,16,8,48,2000,850,2701,10409.6
Workstation,3.6,6,12,2,64,500,650,2358,9620.0
Gaming,3.1,4,4,8,32,250,450,2295,906.5
Workstation,4.5,8,16,8,16,2000,650,1535,23690.0
Home Office,3.5,4,8,10,16,1000,750,1400,5195.0
Home Office,3.6,12,24,12,16,500,650,2521,2696.0
General Use,3.7,6,12,8,16,2000,850,2922,10157.6
Workstation,3.4,8,16,8,32,500,800,2349,9760.0
Content Creation,3.7,4,8,6,64,1000,550,2743,11376.0
Home Office,3.4,6,12,8,16,1000,1000,2626,5194.0
Content Creation,3.5,4,4,8,32,1000,1000,2587,10752.0
Workstation,4.2,8,16,10,32,500,700,2692,9260.0
Workstation,3.2,8,16,6,48,2000,1000,1344,26080.0
Home Office,3.2,4,8,11,64,500,850,1682,3172.0
Content Creation,3.0,8,16,6,16,500,650,2230,5464.0
Workstation,3.6,2,4,4,32,1000,650,2391,13920.0
Home Office,3.6,4,8,4,16,2000,750,2551,10196.0
Workstation,3.3,6,12,8,32,250,850,2904,7480.0
Content Creation,3.5,4,8,16,64,2000,600,1382,21456.0
Workstation,4.4,12,24,8,64,2000,750,2327,25210.0
Workstation,3.4,8,16,8,64,1000,850,1752,15650.0
Gaming,3.0,8,16,10,16,1000,650,1421,2405.0
Gaming,3.6,4,8,4,64,500,550,2392,1494.0
General Use,3.8,4,4,8,64,2000,1200,2487,10542.4
General Use,3.6,6,12,8,32,1000,700,2197,5284.8
Workstation,3.7,6,12,11,64,500,850,1450,10620.0
General Use,3.2,4,8,11,64,250,550,1567,1787.6
Workstation,3.2,4,8,8,16,500,850,1608,9630.0
General Use,3.6,2,4,8,16,1000,1000,1263,5156.8
Workstation,3.7,6,12,8,32,2000,1200,1914,26730.0
Gaming,3.9,6,12,8,8,2000,650,2030,4318.5
Workstation,4.5,16,32,8,32,2000,850,1962,25130.0
Workstation,3.4,8,16,24,32,2000,750,2546,24510.0
Home Office,3.5,6,12,16,64,500,550,2420,3175.0
Gaming,3.5,4,4,8,16,250,550,2026,832.5
Workstation,3.7,6,12,16,32,1000,1500,1680,18230.0
Gaming,3.2,8,16,8,4,250,1000,2220,808.0
Home Office,3.6,4,8,6,32,1000,450,1729,5356.0
Gaming,3.4,8,16,8,32,500,650,2916,1451.0
